id_boite,plate,plant_id
1,Plate_1,A1_1
2,Plate_1,A1_2
3,Plate_1,A1_3
4,Plate_1,A1_4
5,Plate_1,A1_5
6,Plate_1,A1_6
7,Plate_1,A1_7
8,Plate_1,A1_8
9,Plate_1,A1_9
10,Plate_1,A1_10
11,Plate_1,A1_11
12,Plate_1,A1_12
13,Plate_1,A1_13
14,Plate_1,A1_14
15,Plate_1,A1_15
16,Plate_1,A1_16
17,Plate_1,A1_17
18,Plate_1,A1_18
19,Plate_1,A1_19
20,Plate_1,A1_20
21,Plate_2,A2_1
22,Plate_2,A2_2
23,Plate_2,A2_3
24,Plate_2,A2_4
25,Plate_2,A2_5
26,Plate_2,A2_6
27,Plate_2,A2_7
28,Plate_2,A2_8
29,Plate_2,A2_9
30,Plate_2,A2_10
31,Plate_2,A2_11
32,Plate_2,A2_12
33,Plate_2,A2_13
34,Plate_2,A2_14
35,Plate_2,A2_15
36,Plate_2,A2_16
37,Plate_2,A2_17
38,Plate_2,A2_18
39,Plate_2,A2_19
40,Plate_2,A2_20
41,Plate_1,B1_1
42,Plate_1,B1_2
43,Plate_1,B1_3
44,Plate_1,B1_4
45,Plate_1,B1_5
46,Plate_1,B1_6
47,Plate_1,B1_7
48,Plate_1,B1_8
49,Plate_1,B1_9
50,Plate_1,B1_10
51,Plate_1,B1_11
52,Plate_1,B1_12
53,Plate_1,B1_13
54,Plate_1,B1_14
55,Plate_1,B1_15
56,Plate_1,B1_16
57,Plate_1,B1_17
58,Plate_1,B1_18
59,Plate_2,B2_1
60,Plate_2,B2_2
61,Plate_2,B2_3
62,Plate_2,B2_4
63,Plate_2,B2_5
64,Plate_2,B2_6
65,Plate_2,B2_7
66,Plate_2,B2_8
67,Plate_2,B2_9
68,Plate_2,B2_10
69,Plate_2,B2_11
70,Plate_2,B2_12
71,Plate_2,B2_13
72,Plate_2,B2_14
73,Plate_2,B2_15
74,Plate_2,B2_16
75,Plate_2,B2_17
76,Plate_2,B2_18
77,Plate_1,C1_1
78,Plate_1,C1_2
79,Plate_1,C1_3
80,Plate_1,C1_4
81,Plate_1,C1_5
82,Plate_1,C1_6
83,Plate_1,C1_7
84,Plate_1,C1_8
85,Plate_1,C1_9
86,Plate_1,C1_10
87,Plate_1,C1_11
88,Plate_1,C1_12
89,Plate_1,C1_13
90,Plate_1,C1_14
91,Plate_1,C1_15
92,Plate_1,C1_16
93,Plate_1,C1_17
94,Plate_1,C1_18
95,Plate_1,C1_19
96,Plate_2,C2_1
97,Plate_2,C2_2
98,Plate_2,C2_3
99,Plate_2,C2_4
100,Plate_2,C2_5
101,Plate_2,C2_6
102,Plate_2,C2_7
103,Plate_2,C2_8
104,Plate_2,C2_9
105,Plate_2,C2_10
106,Plate_2,C2_11
107,Plate_2,C2_12
108,Plate_2,C2_13
109,Plate_2,C2_14
110,Plate_2,C2_15
111,Plate_2,C2_16
112,Plate_2,C2_17
113,Plate_2,C2_18
114,Plate_2,C2_19
115,Plate_2,C2_20
116,Plate_2,C2_21
117,Plate_1,D1_1
118,Plate_1,D1_2
119,Plate_1,D1_3
120,Plate_1,D1_4
121,Plate_1,D1_5
122,Plate_1,D1_6
123,Plate_1,D1_7
124,Plate_1,D1_8
125,Plate_1,D1_9
126,Plate_1,D1_10
127,Plate_1,D1_11
128,Plate_1,D1_12
129,Plate_1,D1_13
130,Plate_1,D1_14
131,Plate_1,D1_15
132,Plate_1,D1_16
133,Plate_2,D2_1
134,Plate_2,D2_2
135,Plate_2,D2_3
136,Plate_2,D2_4
137,Plate_2,D2_5
138,Plate_2,D2_6
139,Plate_2,D2_7
140,Plate_2,D2_8
141,Plate_2,D2_9
142,Plate_2,D2_10
143,Plate_2,D2_11
144,Plate_2,D2_12
145,Plate_2,D2_13
146,Plate_2,D2_14
147,Plate_2,D2_15
148,Plate_2,D2_16
149,Plate_1,E1_1
150,Plate_1,E1_2
151,Plate_1,E1_3
152,Plate_1,E1_4
153,Plate_1,E1_5
154,Plate_1,E1_6
155,Plate_1,E1_7
156,Plate_1,E1_8
157,Plate_1,E1_9
158,Plate_1,E1_10
159,Plate_1,E1_11
160,Plate_1,E1_12
161,Plate_1,E1_13
162,Plate_1,E1_14
163,Plate_1,E1_15
164,Plate_1,E1_16
165,Plate_1,E1_17
166,Plate_1,E1_18
167,Plate_1,E1_19
168,Plate_1,E1_20
169,Plate_2,E2_1
170,Plate_2,E2_2
171,Plate_2,E2_3
172,Plate_2,E2_4
173,Plate_2,E2_5
174,Plate_2,E2_6
175,Plate_2,E2_7
176,Plate_2,E2_8
177,Plate_2,E2_9
178,Plate_2,E2_10
179,Plate_2,E2_11
180,Plate_2,E2_12
181,Plate_2,E2_13
182,Plate_2,E2_14
183,Plate_2,E2_15
184,Plate_2,E2_16
185,Plate_2,E2_17
186,Plate_2,E2_18
187,Plate_1,F1_1
188,Plate_1,F1_2
189,Plate_1,F1_3
190,Plate_1,F1_4
191,Plate_1,F1_5
192,Plate_1,F1_6
193,Plate_1,F1_7
194,Plate_1,F1_8
195,Plate_1,F1_9
196,Plate_1,F1_10
197,Plate_1,F1_11
198,Plate_1,F1_12
199,Plate_1,F1_13
200,Plate_1,F1_14
201,Plate_1,F1_15
202,Plate_1,F1_16
203,Plate_1,F1_17
204,Plate_1,F1_18
205,Plate_1,F1_19
206,Plate_1,F1_20
207,Plate_2,F2_1
208,Plate_2,F2_2
209,Plate_2,F2_3
210,Plate_2,F2_4
211,Plate_2,F2_5
212,Plate_2,F2_6
213,Plate_2,F2_7
214,Plate_2,F2_8
215,Plate_2,F2_9
