organism_id,ShootArea,distFromHypocotyl,chlorophyll,Root_area,tortuosity,PR_length,LR_length,plant_id
1,0.094,2.569,1.603,0.225,1.092,3.176,9.60,A1_1
2,0.017,0.000,0.264,0.055,1.085,1.525,1.00,A1_2
3,0.015,2.569,0.175,0.225,1.081,1.134,9.60,A1_3
4,0.017,0.000,0.183,0.016,1.030,0.816,0.00,A1_4
5,0.068,2.699,1.310,0.297,1.105,5.99,10.36,A1_5
6,0.083,2.699,1.605,0.297,1.064,6.638,10.36,A1_6
7,0.136,2.699,2.777,0.297,1.178,6.407,10.36,A1_7
8,0.146,2.699,2.896,0.297,1.087,4.743,10.36,A1_8
9,0.047,2.699,0.913,0.297,1.080,6.232,10.36,A1_9
10,0.131,1.905,2.601,0.396,1.120,7.076,18.00,A1_10
11,0.103,2.699,2.565,0.297,1.077,7.379,10.36,A1_11
12,0.078,2.699,2.207,0.297,1.117,10.335,10.36,A1_12
13,0.081,2.699,2.590,0.297,1.089,10.417,10.36,A1_13
14,0.191,2.699,5.549,0.297,1.154,11.232,10.36,A1_14
15,0.204,2.699,5.359,0.297,1.130,5.319,10.36,A1_15
16,0.116,2.699,3.348,0.297,1.142,10.171,10.36,A1_16
17,0.028,0.253,0.758,0.031,1.047,0.873,3.00,A1_17
18,0.250,2.569,5.416,0.225,1.079,10.206,9.60,A1_18
19,0.169,2.569,3.777,0.225,1.085,8.004,9.60,A1_19
20,0.041,2.569,1.194,0.225,1.089,3.832,9.60,A1_20
21,0.024,0.019,0.293,0.030,1.127,1.143,2.00,A2_1
22,0.163,2.381,2.571,0.315,1.078,6.391,14.00,A2_2
23,0.018,0.000,0.158,0.020,1.071,0.848,1.00,A2_3
24,0.025,2.571,0.389,0.191,1.074,2.461,6.00,A2_4
25,0.014,2.571,0.134,0.191,1.083,0.487,6.00,A2_5
26,0.072,1.673,1.296,0.290,1.082,7.081,13.00,A2_6
27,0.140,2.955,2.197,0.159,1.069,5.739,6.25,A2_7
28,0.018,2.955,0.223,0.159,1.087,0.761,6.25,A2_8
29,0.024,0.000,0.335,0.035,1.061,1.895,1.00,A2_9
30,0.185,2.955,3.078,0.159,1.110,10.62,6.25,A2_10
31,0.115,2.955,2.157,0.159,1.072,4.184,6.25,A2_11
32,0.024,0.000,0.392,0.055,1.079,2.664,1.00,A2_12
33,0.021,2.571,0.347,0.191,1.082,10.239,6.00,A2_13
34,0.130,2.571,2.059,0.191,1.083,4.371,6.00,A2_14
35,0.107,2.571,1.809,0.191,1.074,5.218,6.00,A2_15
36,0.028,0.933,0.402,0.063,1.057,2.638,2.00,A2_16
37,0.016,2.381,0.226,0.315,1.082,9.805,14.00,A2_17
38,0.159,0.100,2.506,0.129,1.084,3.108,6.00,A2_18
39,0.098,2.476,1.720,0.340,1.105,10.268,13.00,A2_19
40,0.105,2.476,1.939,0.340,1.078,4.474,13.00,A2_20
41,0.241,1.736,5.138,0.274,1.144,6.252,9.67,B1_1
42,0.151,1.736,3.390,0.274,1.138,6.881,9.67,B1_2
43,0.143,2.302,2.556,0.303,1.150,7.523,11,B1_3
44,0.064,2.302,1.388,0.303,1.106,7.57,11,B1_4
45,0.074,2.147,1.927,0.236,1.147,7.002,9,B1_5
46,0.058,2.367,1.498,0.390,1.151,7.35,14,B1_6
47,0.178,2.215,3.935,0.314,1.106,7.622,13.17,B1_7
48,0.094,2.215,1.755,0.314,1.121,7.557,13.17,B1_8
49,0.085,1.573,1.398,0.153,1.132,5.396,5,B1_9
50,0.111,1.134,2.238,0.240,1.157,7.557,9,B1_10
51,0.004,0.378,0.009,0.028,1.261,1.006,2,B1_11
52,0.130,2.215,2.707,0.314,1.132,9.864,13.17,B1_12
53,0.137,2.215,3.029,0.314,1.174,3.614,13.17,B1_13
54,0.205,2.215,4.412,0.314,1.207,7.051,13.17,B1_14
55,0.002,2.215,0.026,0.314,1.102,10.015,13.17,B1_15
56,0.138,2.302,2.925,0.303,1.130,4.442,11,B1_16
57,0.076,2.302,1.796,0.303,1.119,8.147,11,B1_17
58,0.137,1.736,3.236,0.274,1.126,5.105,9.67,B1_18
59,0.117,2.389,2.388,0.293,1.091,5.654,10.14,B2_1
60,0.133,2.389,2.629,0.293,1.127,7.032,10.14,B2_2
61,0.051,2.389,1.176,0.293,1.182,8.044,10.14,B2_3
62,0.121,1.195,1.891,0.172,1.117,5.181,3.00,B2_4
63,0.168,2.810,3.612,0.408,1.131,7.885,13.63,B2_5
64,0.109,2.810,2.057,0.408,1.139,8.202,13.63,B2_6
65,0.073,2.810,1.482,0.408,1.132,8.104,13.63,B2_7
66,0.172,2.810,3.601,0.408,1.135,8.136,13.63,B2_8
67,0.056,2.810,1.162,0.408,1.109,7.013,13.63,B2_9
68,0.138,2.108,2.496,0.308,1.118,7.844,8.00,B2_10
69,0.071,2.810,1.203,0.408,1.103,8.617,13.63,B2_11
70,0.103,2.810,2.281,0.408,1.176,6.072,13.63,B2_12
71,0.100,2.810,1.990,0.408,1.118,11.356,13.63,B2_13
72,0.123,0.440,2.674,0.093,1.110,3.524,3.00,B2_14
73,0.076,2.389,1.423,0.293,1.134,9.238,10.14,B2_15
74,0.156,2.389,3.118,0.293,1.149,10.172,10.14,B2_16
75,0.120,2.389,2.447,0.293,1.166,6.167,10.14,B2_17
76,0.050,2.389,0.975,0.293,1.134,3.573,10.14,B2_18
77,0.096,1.106,2.782,0.141,1.111,3.936,8,C1_1
78,0.019,0.000,0.343,0.036,1.069,1.6,0,C1_2
79,0.012,0.000,0.286,0.066,1.079,2.635,1,C1_3
80,0.127,1.342,3.168,0.278,1.080,9.203,9,C1_4
81,0.016,1.804,0.329,0.184,1.081,6.255,6,C1_5
82,0.185,1.923,4.196,0.407,1.091,10.311,15,C1_6
83,0.132,2.096,3.254,0.174,1.096,5.55,8,C1_7
84,0.039,2.096,0.798,0.174,1.123,4.089,8,C1_8
85,0.169,2.096,3.633,0.174,1.083,9.681,8,C1_9
86,0.087,0.000,1.905,0.019,1.049,0.607,1,C1_10
87,0.014,0.000,0.264,0.007,1.214,0.2,0,C1_11
88,0.039,0.539,0.840,0.080,1.213,2.159,2,C1_12
89,0.066,2.573,1.578,0.168,1.085,10.313,5.5,C1_13
90,0.014,2.573,0.200,0.168,1.042,0.835,5.5,C1_14
91,0.137,2.087,3.299,0.200,1.121,6.527,9,C1_15
92,0.111,0.000,2.828,0.007,1.262,0.151,1,C1_16
93,0.073,0.000,2.108,0.157,1.089,3.64,5,C1_17
94,0.015,0.000,0.346,0.018,1.073,0.913,0,C1_18
95,0.011,0.000,0.164,0.008,1.065,0.185,0,C1_19
96,0.089,0.618,1.856,0.113,1.090,3.273,5,C2_1
97,0.112,1.881,2.331,0.192,1.084,5.654,6,C2_2
98,0.109,1.973,2.402,0.144,1.057,5.167,5,C2_3
99,0.110,1.881,2.431,0.192,1.081,5.981,6,C2_4
100,0.012,0.912,0.171,0.092,1.065,0.208,3,C2_5
101,0.117,0.000,2.447,0.009,1.054,0.105,1,C2_6
102,0.011,0.912,0.138,0.092,1.116,4.429,3,C2_7
103,0.141,2.151,2.691,0.231,1.093,7.081,13,C2_8
104,0.082,0.000,1.517,0.007,1.338,0.252,0,C2_9
105,0.083,0.712,1.782,0.192,1.067,6.821,5,C2_10
106,0.152,1.384,3.149,0.165,1.091,7.095,7.5,C2_11
107,0.061,1.384,0.938,0.165,1.106,3.687,7.5,C2_12
108,0.123,1.634,2.732,0.163,1.098,7.154,5.5,C2_13
109,0.079,1.634,1.748,0.163,1.121,4.692,5.5,C2_14
110,0.023,1.634,0.365,0.163,1.092,2.516,5.5,C2_15
111,0.116,1.634,2.591,0.163,1.123,4.638,5.5,C2_16
112,0.062,0.881,1.201,0.114,1.068,3.849,5,C2_17
113,0.013,0.000,0.186,0.018,1.045,0.725,1,C2_18
114,0.057,1.125,1.108,0.155,1.099,3.384,4,C2_19
115,0.018,0.000,0.263,0.019,1.057,0.894,0,C2_20
116,0.007,0.000,0.116,0.004,1.077,0.209,0,C2_21
117,0.218,2.297,4.506,0.304,1.152,8.186,12,D1_1
118,0.275,0.780,5.361,0.274,1.117,4.757,10,D1_2
119,0.094,2.297,1.841,0.304,1.119,5.477,12,D1_3
120,0.178,2.297,3.327,0.304,1.302,8.22,12,D1_4
121,0.323,1.799,6.845,0.274,1.172,8.288,14.5,D1_5
122,0.034,1.799,0.657,0.274,1.116,5.186,14.5,D1_6
123,0.349,2.515,7.566,0.397,1.149,8.229,15,D1_7
124,0.229,2.515,5.085,0.397,1.132,10.914,15,D1_8
125,0.228,2.515,4.427,0.397,1.119,8.511,15,D1_9
126,0.101,2.515,1.948,0.397,1.110,6.996,15,D1_10
127,0.356,2.515,7.834,0.397,1.142,8.326,15,D1_11
128,0.313,2.515,7.265,0.397,1.123,10.303,15,D1_12
129,0.125,2.515,2.400,0.397,1.123,8.103,15,D1_13
130,0.269,2.515,5.251,0.397,1.223,10.854,15,D1_14
131,0.110,2.515,2.321,0.397,1.161,8.486,15,D1_15
132,0.301,2.515,6.022,0.397,1.140,8.272,15,D1_16
133,0.199,2.148,4.338,0.304,1.151,8.157,12.6,D2_1
134,0.388,2.570,7.436,0.391,1.126,9.149,15,D2_2
135,0.322,2.148,7.372,0.304,1.322,8.188,12.6,D2_3
136,0.198,2.148,3.985,0.304,1.209,5.422,12.6,D2_4
137,0.172,2.148,3.565,0.304,1.115,5.182,12.6,D2_5
138,0.275,2.148,5.836,0.304,1.158,8.219,12.6,D2_6
139,0.189,2.846,3.894,0.399,1.116,8.116,15.3,D2_7
140,0.108,2.846,2.190,0.399,1.112,8.456,15.3,D2_8
141,0.326,2.846,5.467,0.399,1.100,10.677,15.3,D2_9
142,0.172,2.846,3.667,0.399,1.145,8.365,15.3,D2_10
143,0.275,2.846,4.659,0.399,1.124,10.808,15.3,D2_11
144,0.177,2.846,3.607,0.399,1.117,10.196,15.3,D2_12
145,0.242,2.846,4.817,0.399,1.112,7.718,15.3,D2_13
146,0.255,2.846,3.919,0.399,1.268,11.599,15.3,D2_14
147,0.101,2.846,2.023,0.399,1.202,2.645,15.3,D2_15
148,0.256,2.846,5.406,0.399,1.120,8.163,15.3,D2_16
149,0.053,0.000,0.609,0.085,1.092,3.328,0,E1_1
150,0.055,0.203,0.748,0.135,1.078,4.796,4,E1_2
151,0.223,1.573,3.531,0.340,1.088,7.124,10,E1_3
152,0.080,0.000,0.859,0.042,1.061,3.486,0,E1_4
153,0.047,0.130,0.624,0.100,1.060,3.661,2,E1_5
154,0.045,0.000,0.499,0.027,1.053,2.217,1,E1_6
155,0.035,0.481,0.311,0.072,1.069,2.746,1.5,E1_7
156,0.155,0.481,2.956,0.072,1.056,3.269,1.5,E1_8
157,0.032,0.000,0.293,0.034,1.076,1.918,0,E1_9
158,0.292,0.000,4.603,0.066,1.107,4.307,1,E1_10
159,0.138,0.000,2.715,0.035,1.052,3.56,0,E1_11
160,0.021,0.000,0.153,0.025,1.059,1.375,0,E1_12
161,0.042,0.000,0.416,0.026,1.023,1.488,1,E1_13
162,0.113,0.000,2.101,0.048,1.056,4.375,1,E1_14
163,0.083,0.621,1.339,0.160,1.045,4.457,4,E1_15
164,0.040,0.000,0.432,0.024,1.044,2.049,1,E1_16
165,0.095,1.402,1.410,0.182,1.045,5.235,7,E1_17
166,0.049,0.267,0.621,0.156,1.051,4.885,4,E1_18
167,0.029,0.000,0.361,0.081,1.062,2.586,1,E1_19
168,0.029,0.000,0.332,0.074,1.063,2.626,1,E1_20
169,0.122,0.309,2.081,0.117,1.076,4.365,4,E2_1
170,0.011,0.000,0.127,0.003,1.071,0.107,0,E2_2
171,0.231,0.831,4.187,0.199,1.072,5.829,5,E2_3
172,0.098,1.331,1.484,0.108,1.071,3.467,3,E2_4
173,0.089,0.746,1.475,0.113,1.053,3.724,5,E2_5
174,0.008,0.000,0.074,0.005,1.031,0.103,0,E2_6
175,0.063,0.000,0.860,0.096,1.057,3.937,1,E2_7
176,0.037,0.000,0.433,0.020,1.060,1.551,0,E2_8
177,0.141,0.918,2.467,0.122,1.050,4.87,2,E2_9
178,0.098,1.412,1.218,0.119,1.048,4.444,2,E2_10
179,0.018,0.000,0.336,0.004,1.071,0.45,0,E2_11
180,0.080,0.000,1.359,0.062,1.068,3.908,2,E2_12
181,0.097,0.000,1.078,0.028,1.061,2.146,0,E2_13
182,0.203,1.858,3.702,0.215,1.075,5.608,8,E2_14
183,0.032,0.000,0.361,0.029,1.078,1.836,1,E2_15
184,0.066,0.564,1.057,0.137,1.109,4.416,3,E2_16
185,0.071,1.550,0.739,0.100,1.111,1.942,3,E2_17
186,0.106,1.550,1.482,0.100,1.099,5.351,3,E2_18
187,0.187,2.348,4.250,0.259,1.102,11.163,10.14,F1_1
